x,y1,y2,y3,y4,y5,y6
1,0.1,0.158483887,19.98986874,0,0.995016625,415.6457634
2,0.2,0.312961796,19.95948521,0.301029996,1.980132669,430.4858839
3,0.3,0.45952901,19.90888021,0.477121255,2.955446645,444.1305052
4,0.4,0.594480769,19.838105,0.602059991,3.921056085,456.2101768
5,0.5,0.714405912,19.74723128,0.698970004,4.87705755,466.3852167
6,0.6,0.816273109,19.63635112,0.77815125,5.823546642,474.3543332
7,0.7,0.897507474,19.50557686,0.84509804,6.760618009,479.8622845
8,0.8,0.956055657,19.35504098,0.903089987,7.688365361,482.7063854
9,0.9,0.990437744,19.18489601,0.954242509,8.606881473,482.7416945
10,1,0.999784662,18.99531431,1,9.516258196,479.8847524
11,1.1,0.983860151,18.78648796,1.041392685,10.41658647,474.1157742
12,1.2,0.943066732,18.55862852,1.079181246,11.30795633,465.4792437
13,1.3,0.878435536,18.31196685,1.113943352,12.19045691,454.0828907
14,1.4,0.791600237,18.04675285,1.146128036,13.06417646,440.0950807
15,1.5,0.68475576,17.7632552,1.176091259,13.92920236,423.7406801
16,1.6,0.560602799,17.46176114,1.204119983,14.7856211,405.2955026
17,1.7,0.422279552,17.1425761,1.230448921,15.63351834,385.0794773
18,1.8,0.273282399,16.80602347,1.255272505,16.47297886,363.4487094
19,1.9,0.117377522,16.45244422,1.278753601,17.30408661,340.7866366
20,2,-0.041494292,16.08219656,1.301029996,18.12692469,317.4945021
21,2.1,-0.19931726,15.69565561,1.322219295,18.9415754,293.9813863
22,2.2,-0.352102111,15.29321298,1.342422681,19.7481202,270.6540485
23,2.3,-0.495986922,14.87527639,1.361727836,20.54663975,247.9068356
24,2.4,-0.627334734,14.44226926,1.380211242,21.33721389,226.1119118
25,2.5,-0.742825487,13.9946303,1.397940009,22.11992169,205.6100572
26,2.6,-0.839539935,13.532813,1.414973348,22.89484142,186.7022665
27,2.7,-0.915033439,13.05728526,1.431363764,23.66205057,169.6423613
28,2.8,-0.967397759,12.56852884,1.447158031,24.42162585,154.6308008
29,2.9,-0.99530929,12.06703891,1.462397998,25.17364324,141.8098491
30,3,-0.998062515,11.55332354,1.477121255,25.91817793,131.2602194
31,3.1,-0.975587841,11.0279032,1.491361694,26.65530438,122.99928
32,3.2,-0.928453358,10.49131021,1.505149978,27.38509629,116.9808683
33,3.3,-0.857850477,9.944088185,1.51851394,28.10762666,113.096716
34,3.4,-0.76556382,9.386791547,1.531478917,28.82296772,111.1794489
35,3.5,-0.653926104,8.819984905,1.544068044,29.53119103,111.0070877
36,3.6,-0.525759181,8.244242503,1.556302501,30.23236739,112.308932
37,3.7,-0.38430271,7.660147643,1.568201724,30.92656694,114.7726819
38,3.8,-0.233132269,7.068292086,1.579783597,31.61385908,118.0526149
39,3.9,-0.076068973,6.469275457,1.591064607,32.29431255,121.7786118
40,4,0.082917109,5.863704634,1.602059991,32.9679954,125.5658036
41,4.1,0.239807305,5.252193138,1.612783857,33.63497499,129.0245933
42,4.2,0.390635923,4.635360507,1.62324929,34.29531802,131.7708024
43,4.3,0.531590486,4.013831671,1.633468456,34.94909053,133.4356821
44,4.4,0.659108105,3.388236316,1.643452676,35.59635789,133.6755368
45,4.5,0.769965532,2.75920825,1.653212514,36.23718484,132.1807182
46,4.6,0.861360639,2.127384757,1.662757832,36.87163545,128.683759
47,4.7,0.930983242,1.493405955,1.672097858,37.49977317,122.9664433
48,4.8,0.977073501,0.857914145,1.681241237,38.12166082,114.865633
49,4.9,0.998466398,0.221553158,1.69019608,38.73736058,104.277703
50,5,0.994621187,-0.415032289,1.698970004,39.34693403,91.16147294
51,5.1,0.965635064,-1.051197257,1.707570176,39.95044212,75.53956122
52,5.2,0.912240706,-1.686297228,1.716003344,40.5479452,57.49812599
53,5.3,0.835787756,-2.319688768,1.72427587,41.13950303,37.18500022
54,5.4,0.738208706,-2.95073017,1.73239376,41.72517476,14.80626715
55,5.5,0.621970048,-3.57878211,1.740362689,42.30501896,-9.3786374
56,5.6,0.490009933,-4.203208292,1.748188027,42.87909362,-35.06317253
57,5.7,0.345663899,-4.823376092,1.755874856,43.44745613,-61.90113191
58,5.8,0.192580564,-5.438657204,1.763427994,44.01016334,-89.51508772
59,5.9,0.034629393,-6.048428269,1.770852012,44.56727153,-117.505626
60,6,-0.1241971,-6.652071512,1.77815125,45.11883639,-145.4611402
61,6.1,-0.279884278,-7.248975367,1.785329835,45.66491309,-172.9679352
62,6.2,-0.428496858,-7.838535094,1.792391689,46.20555624,-199.6203877
63,6.3,-0.566278377,-8.420153396,1.799340549,46.7408199,-225.0309056
64,6.4,-0.68974615,-8.993241018,1.806179974,47.2707576,-248.8394353
65,6.5,-0.795779297,-9.557217352,1.812913357,47.79542232,-270.7222768
66,6.6,-0.881697633,-10.11151102,1.819543936,48.31486655,-290.3999836
67,6.7,-0.94532941,-10.65556045,1.826074803,48.82914222,-307.6441499
68,6.8,-0.985066216,-11.18881444,1.832508913,49.33830076,-322.2829105
69,6.9,-0.99990363,-11.71073276,1.838849091,49.84239309,-334.2050182
70,7,-0.989466607,-12.22078663,1.84509804,50.34146962,-343.3623932
71,7.1,-0.954018962,-12.71845929,1.851258349,50.83558025,-349.7710821
72,7.2,-0.894456702,-13.20324655,1.857332496,51.3247744,-353.5106013
73,7.3,-0.812285375,-13.67465726,1.86332286,51.80910099,-354.7216826
74,7.4,-0.709582013,-14.13221381,1.86923172,52.28860845,-353.6024775
75,7.5,-0.588942638,-14.57545264,1.875061263,52.76334473,-350.4033166
76,7.6,-0.453416634,-15.0039247,1.880813592,53.2333573,-345.4201574
77,7.7,-0.306429676,-15.41719589,1.886490725,53.69869317,-338.9868854
78,7.8,-0.151697135,-15.81484751,1.892094603,54.15939887,-331.4666636
